fail_log_id,student_id,full_name,biometric_id,date,time,device_id,device_name,subject_code,fail_reason,match_score,attempt_no
FAIL0000024,UGF23AI249,Arjun Ingle,BIO0249,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Low Quality Image,6.47,2
FAIL0000025,UGF23AI271,Kiran Tiwari,BIO0271,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,15.43,1
FAIL0000026,UGF23AI278,Disha Sai Lokhande,BIO0278,2024-07-01,09:02:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,2.85,1
FAIL0000027,UGF23AI278,Disha Sai Lokhande,BIO0278,2024-07-01,09:02:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Wet Finger,2.87,2
FAIL0000028,UGF23AI310,Nikhil Lokhande,BIO0310,2024-07-01,09:02:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Sensor Dirty,24.52,1
FAIL0000029,UGF23AI325,Gunjan Sai Pawar,BIO0325,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,0.64,1
FAIL0000030,UGF23AI325,Gunjan Sai Pawar,BIO0325,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Partial Print,25.4,2
FAIL0000031,UGF23AI336,Ritika Lal Ahuja,BIO0336,2024-07-01,09:01:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Dry Finger,15.09,1
FAIL0000032,UGF23AI361,Firoz Das Narwade,BIO0361,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Scar/Cut on Finger,17.83,1
FAIL0000033,UGF23AI363,Madhuri Devi Pawar,BIO0363,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Dry Finger,20.95,1
FAIL0000034,UGF23AI369,Manish Sai Junghare,BIO0369,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,25.99,1
FAIL0000035,UGF23AI369,Manish Sai Junghare,BIO0369,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,1.17,2
FAIL0000036,UGF23AI371,Wasim Prasad Patel,BIO0371,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Finger Rotated,39.6,1
FAIL0000037,UGF23AI372,Bhushan Raj Kadam,BIO0372,2024-07-01,09:00:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Timeout,21.44,1
FAIL0000038,UGF23AI376,Faisal Kadam,BIO0376,2024-07-01,09:03:00,RDR-BIO-001,ZKTeco K40,AIPC350T,Low Quality Image,2.29,1
FAIL0000039,UGF23AI117,Bhushan Raj Chatterjee,BIO0117,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,20.52,1
FAIL0000040,UGF23AI117,Bhushan Raj Chatterjee,BIO0117,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,18.27,2
FAIL0000041,UGF23AI132,Abhishek Kumar Shah,BIO0132,2024-07-01,09:25:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,9.01,1
FAIL0000042,UGF23AI135,Dev Sai Dalvi,BIO0135,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Sensor Dirty,1.81,1
FAIL0000043,UGF23AI135,Dev Sai Dalvi,BIO0135,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,14.59,2
FAIL0000044,UGF23AI139,Zara Das Rao,BIO0139,2024-07-01,09:10:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Dry Finger,15.46,1
FAIL0000045,UGF23AI143,Siddharth Vaghmare,BIO0143,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Finger Rotated,26.41,1
FAIL0000046,UGF23AI149,Om Raj Reddy,BIO0149,2024-07-01,09:25:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,10.79,1
FAIL0000047,UGF23AI154,Tejas Nair,BIO0154,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Scar/Cut on Finger,6.89,1
FAIL0000048,UGF23AI163,Aditi Lal Dalvi,BIO0163,2024-07-01,09:11:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,22.36,1
FAIL0000049,UGF23AI163,Aditi Lal Dalvi,BIO0163,2024-07-01,09:11:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,11.4,2
FAIL0000050,UGF23AI181,Rahul Sai Jadhav,BIO0181,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Dry Finger,23.57,1
FAIL0000051,UGF23AI185,Zara Kumar Deshpande,BIO0185,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,24.07,1
FAIL0000052,UGF23AI185,Zara Kumar Deshpande,BIO0185,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,27.77,2
FAIL0000053,UGF23AI205,Firoz Unde,BIO0205,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Scar/Cut on Finger,29.9,1
FAIL0000054,UGF23AI214,Dev Das Londhe,BIO0214,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Finger Rotated,12.24,1
FAIL0000055,UGF23AI214,Dev Das Londhe,BIO0214,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,18.68,2
FAIL0000056,UGF23AI219,Zara Lal Zende,BIO0219,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Partial Print,36.33,1
FAIL0000057,UGF23AI232,Gajanan Raj Tiwari,BIO0232,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,37.73,1
FAIL0000058,UGF23AI232,Gajanan Raj Tiwari,BIO0232,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Finger Rotated,20.19,2
FAIL0000059,UGF23AI246,Hina Nath Tiwari,BIO0246,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,24.14,1
FAIL0000060,UGF23AI246,Hina Nath Tiwari,BIO0246,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Partial Print,37.5,2
FAIL0000061,UGF23AI266,Geeta Prakash Nair,BIO0266,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,26.82,1
FAIL0000062,UGF23AI277,Ekta Chatterjee,BIO0277,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,18.3,1
FAIL0000063,UGF23AI277,Ekta Chatterjee,BIO0277,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,31.12,2
FAIL0000064,UGF23AI286,Rohit Shankar Hande,BIO0286,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,15.78,1
FAIL0000065,UGF23AI286,Rohit Shankar Hande,BIO0286,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Dry Finger,20.5,2
FAIL0000066,UGF23AI288,Babita Lal Kulkarni,BIO0288,2024-07-01,09:21:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,18.69,1
FAIL0000067,UGF23AI298,Nilesh Ram Kulkarni,BIO0298,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Scar/Cut on Finger,29.4,1
FAIL0000068,UGF23AI298,Nilesh Ram Kulkarni,BIO0298,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Dry Finger,5.28,2
FAIL0000069,UGF23AI305,Iqbal Raj Chopra,BIO0305,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Sensor Dirty,25.35,1
FAIL0000070,UGF23AI305,Iqbal Raj Chopra,BIO0305,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Dry Finger,36.12,2
FAIL0000071,UGF23AI324,Gunjan Devi Fernandes,BIO0324,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,4.02,1
FAIL0000072,UGF23AI324,Gunjan Devi Fernandes,BIO0324,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,24.46,2
FAIL0000073,UGF23AI326,Vanshika Chand Shah,BIO0326,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,26.73,1
FAIL0000074,UGF23AI326,Vanshika Chand Shah,BIO0326,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Partial Print,15.38,2
FAIL0000075,UGF23AI341,Jatin Bala Upadhyay,BIO0341,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Partial Print,27.39,1
FAIL0000076,UGF23AI346,Kunal Gupta,BIO0346,2024-07-01,09:03:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Wet Finger,18.02,1
FAIL0000077,UGF23AI356,Harsha Joshi,BIO0356,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Sensor Dirty,33.13,1
FAIL0000078,UGF23AI359,Bharat Raj Agarwal,BIO0359,2024-07-01,09:02:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,9.73,1
FAIL0000079,UGF23AI365,Rajesh Das Hatwar,BIO0365,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Partial Print,28.05,1
FAIL0000080,UGF23AI365,Rajesh Das Hatwar,BIO0365,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Low Quality Image,24.08,2
FAIL0000081,UGF23AI382,Geeta Raj Joshi,BIO0382,2024-07-01,09:00:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Finger Rotated,34.8,1
FAIL0000082,UGF23AI387,Jayesh Nath Hatwar,BIO0387,2024-07-01,09:26:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Scar/Cut on Finger,10.52,1
FAIL0000083,UGF23AI388,Jiya Nath Junghare,BIO0388,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,13.47,1
FAIL0000084,UGF23AI388,Jiya Nath Junghare,BIO0388,2024-07-01,09:01:00,RDR-BIO-006,ZKTeco K40,AIPC355T,Timeout,27.52,2
FAIL0000085,UGF23AI103,Suresh Londhe,BIO0103,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,7.36,1
FAIL0000086,UGF23AI107,Mohit Nath Gangurde,BIO0107,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Low Quality Image,1.14,1
FAIL0000087,UGF23AI107,Mohit Nath Gangurde,BIO0107,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,9.22,2
FAIL0000088,UGF23AI110,Farhan Nair,BIO0110,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,22.84,1
FAIL0000089,UGF23AI115,Divya Zende,BIO0115,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Partial Print,10.14,1
FAIL0000090,UGF23AI115,Divya Zende,BIO0115,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,14.17,2
FAIL0000091,UGF23AI116,Nikhil Prakash Hatwar,BIO0116,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,3.52,1
FAIL0000092,UGF23AI117,Bhushan Raj Chatterjee,BIO0117,2024-07-02,10:15:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,25.47,1
FAIL0000093,UGF23AI146,Yogesh Rao Gangurde,BIO0146,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,32.97,1
FAIL0000094,UGF23AI149,Om Raj Reddy,BIO0149,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,1.22,1
FAIL0000095,UGF23AI166,Gaurav Naik,BIO0166,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,19.08,1
FAIL0000096,UGF23AI170,Harsha Bala Das,BIO0170,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Partial Print,7.76,1
FAIL0000097,UGF23AI180,Lalita Zende,BIO0180,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,29.25,1
FAIL0000098,UGF23AI182,Pallavi Devi Pillai,BIO0182,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,27.53,1
FAIL0000099,UGF23AI182,Pallavi Devi Pillai,BIO0182,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,1.41,2
FAIL0000100,UGF23AI208,Akash Rao Rao,BIO0208,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Sensor Dirty,4.65,1
FAIL0000101,UGF23AI209,Rekha Nath Tiwari,BIO0209,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Partial Print,26.15,1
FAIL0000102,UGF23AI235,Tariq Thakur,BIO0235,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Sensor Dirty,27.15,1
FAIL0000103,UGF23AI235,Tariq Thakur,BIO0235,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,16.56,2
FAIL0000104,UGF23AI236,Chirag Prasad Dalvi,BIO0236,2024-07-02,10:17:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,4.33,1
FAIL0000105,UGF23AI239,Firoz Reddy,BIO0239,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Scar/Cut on Finger,26.51,1
FAIL0000106,UGF23AI243,Vidya Nair,BIO0243,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,32.04,1
FAIL0000107,UGF23AI260,Seema Sai Chopra,BIO0260,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,4.08,1
FAIL0000108,UGF23AI269,Nikhil Prakash Bhatia,BIO0269,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,27.89,1
FAIL0000109,UGF23AI272,Sneha Prakash Londhe,BIO0272,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,20.02,1
FAIL0000110,UGF23AI274,Mithun Sai Waghmare,BIO0274,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,24.82,1
FAIL0000111,UGF23AI281,Rohit Bala Mehta,BIO0281,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,0.76,1
FAIL0000112,UGF23AI281,Rohit Bala Mehta,BIO0281,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,29.77,2
FAIL0000113,UGF23AI290,Tariq Shankar Pawar,BIO0290,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,33.69,1
FAIL0000114,UGF23AI302,Lakshmi Chand Patil,BIO0302,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Low Quality Image,33.02,1
FAIL0000115,UGF23AI308,Harsha Raj Mukherjee,BIO0308,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,30.44,1
FAIL0000116,UGF23AI308,Harsha Raj Mukherjee,BIO0308,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Sensor Dirty,21.51,2
FAIL0000117,UGF23AI310,Nikhil Lokhande,BIO0310,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,20.32,1
FAIL0000118,UGF23AI322,Nisha Kharat,BIO0322,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Sensor Dirty,6.49,1
FAIL0000119,UGF23AI326,Vanshika Chand Shah,BIO0326,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Scar/Cut on Finger,18.61,1
FAIL0000120,UGF23AI330,Omkar Chand Lal,BIO0330,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Partial Print,13.1,1
FAIL0000121,UGF23AI342,Indira Vaidya,BIO0342,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Low Quality Image,13.78,1
FAIL0000122,UGF23AI342,Indira Vaidya,BIO0342,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,12.22,2
FAIL0000123,UGF23AI351,Gunjan Lal Gaikwad,BIO0351,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,9.43,1
FAIL0000124,UGF23AI361,Firoz Das Narwade,BIO0361,2024-07-02,10:00:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,4.23,1
FAIL0000125,UGF23AI373,Mukesh Ram Zende,BIO0373,2024-07-02,10:11:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,1.27,1
FAIL0000126,UGF23AI386,Sarita Das Desai,BIO0386,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Timeout,28.58,1
FAIL0000127,UGF23AI388,Jiya Nath Junghare,BIO0388,2024-07-02,10:02:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,30.17,1
FAIL0000128,UGF23AI390,Urmila Pillai,BIO0390,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Partial Print,13.25,1
FAIL0000129,UGF23AI391,Rekha Rao Singh,BIO0391,2024-07-02,10:01:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,26.82,1
FAIL0000130,UGF23AI394,Om Nath Londhe,BIO0394,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Wet Finger,5.3,1
FAIL0000131,UGF23AI394,Om Nath Londhe,BIO0394,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Dry Finger,38.76,2
FAIL0000132,UGF23AI396,Wasim Prakash Ingle,BIO0396,2024-07-02,10:03:00,RDR-BIO-003,Mantra MFS100,AIPC351T,Finger Rotated,37.83,1
FAIL0000133,UGF23AI100,Namrata Prasad Patel,BIO0100,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,22.44,1
FAIL0000134,UGF23AI106,Manish Das Ambhore,BIO0106,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Low Quality Image,6.51,1
FAIL0000135,UGF23AI106,Manish Das Ambhore,BIO0106,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Wet Finger,22.86,2
FAIL0000136,UGF23AI115,Divya Zende,BIO0115,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Low Quality Image,7.26,1
FAIL0000137,UGF23AI121,Manish Chand Mehta,BIO0121,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Scar/Cut on Finger,35.22,1
FAIL0000138,UGF23AI161,Madhuri Narwade,BIO0161,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,1.52,1
FAIL0000139,UGF23AI184,Sneha Lal,BIO0184,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Finger Rotated,8.72,1
FAIL0000140,UGF23AI196,Lalit Unde,BIO0196,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Dry Finger,16.73,1
FAIL0000141,UGF23AI196,Lalit Unde,BIO0196,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Timeout,38.5,2
FAIL0000142,UGF23AI232,Gajanan Raj Tiwari,BIO0232,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Scar/Cut on Finger,25.06,1
FAIL0000143,UGF23AI247,Zara Prasad Chopra,BIO0247,2024-07-03,11:01:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,26.31,1
FAIL0000144,UGF23AI249,Arjun Ingle,BIO0249,2024-07-03,11:01:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Timeout,27.1,1
FAIL0000145,UGF23AI249,Arjun Ingle,BIO0249,2024-07-03,11:01:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,2.29,2
FAIL0000146,UGF23AI255,Amrita Rao Banerjee,BIO0255,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Wet Finger,20.64,1
FAIL0000147,UGF23AI256,Ravi Lal Verma,BIO0256,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,35.73,1
FAIL0000148,UGF23AI277,Ekta Chatterjee,BIO0277,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Finger Rotated,19.64,1
FAIL0000149,UGF23AI287,Indira Bhatia,BIO0287,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Dry Finger,24.42,1
FAIL0000150,UGF23AI289,Hemant Chand More,BIO0289,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Partial Print,23.56,1
FAIL0000151,UGF23AI289,Hemant Chand More,BIO0289,2024-07-03,11:03:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Dry Finger,26.9,2
FAIL0000152,UGF23AI297,Jatin Ghosh,BIO0297,2024-07-03,11:01:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Timeout,39.45,1
FAIL0000153,UGF23AI304,Mohit Nath Kumar,BIO0304,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Scar/Cut on Finger,24.43,1
FAIL0000154,UGF23AI304,Mohit Nath Kumar,BIO0304,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Timeout,37.86,2
FAIL0000155,UGF23AI326,Vanshika Chand Shah,BIO0326,2024-07-03,11:01:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Scar/Cut on Finger,0.08,1
FAIL0000156,UGF23AI332,Ramesh Shankar Kulkarni,BIO0332,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Timeout,1.97,1
FAIL0000157,UGF23AI333,Chetna Ram Upadhyay,BIO0333,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Finger Rotated,6.04,1
FAIL0000158,UGF23AI348,Aarav Upadhyay,BIO0348,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Sensor Dirty,31.41,1
FAIL0000159,UGF23AI355,Hina Bala Agarwal,BIO0355,2024-07-03,11:02:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Low Quality Image,9.07,1
FAIL0000160,UGF23AI365,Rajesh Das Hatwar,BIO0365,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Finger Rotated,2.09,1
FAIL0000161,UGF23AI365,Rajesh Das Hatwar,BIO0365,2024-07-03,11:00:00,RDR-BIO-002,ZKTeco SF100,AIPC352T,Wet Finger,18.09,2
