gate_log_id,full_name,student_id,roll_number,class_section,biometric_id,finger_used,match_score,scan_quality,date,entry_time,exit_time,duration_hrs,device_id,device_name,reader_location
GATE0000046,Yogesh Rao Gangurde,UGF23AI146,B16,CSE-AIML-B,BIO0146,Right Ring,90.29,Excellent,2024-07-01,08:31:50,16:57:21,8.43,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000047,Abhishek Nath Ghosh,UGF23AI147,C16,CSE-AIML-C,BIO0147,Right Little,90.85,Average,2024-07-01,08:47:07,16:39:38,7.88,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000048,Chandra Kulkarni,UGF23AI148,A17,CSE-AIML-A,BIO0148,Right Middle,90.5,Good,2024-07-01,08:30:34,16:50:09,8.33,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000049,Om Raj Reddy,UGF23AI149,B17,CSE-AIML-B,BIO0149,Right Ring,81.08,Good,2024-07-01,08:18:27,16:44:08,8.43,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000050,Sakshi Prasad Ambhore,UGF23AI150,C17,CSE-AIML-C,BIO0150,Right Index,92.36,Poor,2024-07-01,08:13:06,16:23:18,8.17,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000051,Gajanan Prasad Jain,UGF23AI151,A18,CSE-AIML-A,BIO0151,Right Index,75.5,Good,2024-07-01,08:04:20,16:23:11,8.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000052,Ritika Bala Vaidya,UGF23AI152,B18,CSE-AIML-B,BIO0152,Right Index,93.47,Good,2024-07-01,08:18:45,16:12:44,7.9,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000053,Tariq Lal Joshi,UGF23AI153,C18,CSE-AIML-C,BIO0153,Right Little,85.77,Excellent,2024-07-01,08:52:18,16:43:59,7.86,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000054,Tejas Nair,UGF23AI154,A19,CSE-AIML-A,BIO0154,Right Little,77.97,Excellent,2024-07-01,08:43:36,16:42:40,7.98,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000055,Tushar Chand Dange,UGF23AI155,B19,CSE-AIML-B,BIO0155,Right Ring,85.16,Average,2024-07-01,08:45:49,16:07:16,7.36,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000056,Pallavi Rao Dalvi,UGF23AI156,C19,CSE-AIML-C,BIO0156,Right Index,78.77,Good,2024-07-01,08:44:58,16:21:16,7.61,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000057,Harsha Ram Reddy,UGF23AI157,A20,CSE-AIML-A,BIO0157,Right Little,80.44,Poor,2024-07-01,08:14:23,16:27:17,8.21,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000058,Jagdish Raj Jain,UGF23AI158,B20,CSE-AIML-B,BIO0158,Right Ring,81.87,Good,2024-07-01,08:43:29,16:48:16,8.08,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000059,Pankaj Salve,UGF23AI160,A21,CSE-AIML-A,BIO0160,Right Ring,80.83,Average,2024-07-01,08:34:27,16:18:56,7.74,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000060,Madhuri Narwade,UGF23AI161,B21,CSE-AIML-B,BIO0161,Right Ring,99.33,Excellent,2024-07-01,08:08:27,16:39:46,8.52,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000061,Hemant Naik,UGF23AI162,C21,CSE-AIML-C,BIO0162,Right Ring,75.24,Poor,2024-07-01,08:45:08,16:12:25,7.45,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000062,Aditi Lal Dalvi,UGF23AI163,A22,CSE-AIML-A,BIO0163,Right Middle,79.41,Excellent,2024-07-01,08:04:27,16:40:17,8.6,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000063,Vanshika Waghmare,UGF23AI164,B22,CSE-AIML-B,BIO0164,Right Middle,77.81,Good,2024-07-01,08:38:23,16:45:36,8.12,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000064,Abhishek Bala Patel,UGF23AI165,C22,CSE-AIML-C,BIO0165,Right Middle,80.95,Average,2024-07-01,08:25:24,16:39:25,8.23,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000065,Gaurav Naik,UGF23AI166,A23,CSE-AIML-A,BIO0166,Right Little,98.95,Good,2024-07-01,08:54:33,16:21:16,7.45,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000066,Dhruv Kadam,UGF23AI168,C23,CSE-AIML-C,BIO0168,Right Thumb,80.52,Good,2024-07-01,08:44:06,16:38:40,7.91,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000067,Ritika Kadam,UGF23AI169,A24,CSE-AIML-A,BIO0169,Right Middle,78.21,Excellent,2024-07-01,08:50:10,16:04:29,7.24,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000068,Harsha Bala Das,UGF23AI170,B24,CSE-AIML-B,BIO0170,Right Index,96.51,Good,2024-07-01,08:03:03,16:06:04,8.05,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000069,Suresh Ram Mehta,UGF23AI171,C24,CSE-AIML-C,BIO0171,Right Ring,95.62,Average,2024-07-01,08:50:56,16:00:21,7.16,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000070,Tushar Chand Gite,UGF23AI172,A25,CSE-AIML-A,BIO0172,Right Thumb,98.42,Excellent,2024-07-01,08:18:51,16:10:29,7.86,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000071,Tanvi Sai Mehta,UGF23AI173,B25,CSE-AIML-B,BIO0173,Right Ring,87.1,Average,2024-07-01,08:36:07,16:51:42,8.26,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000072,Hemant Lal Fulzele,UGF23AI174,C25,CSE-AIML-C,BIO0174,Right Ring,84.04,Excellent,2024-07-01,08:07:31,16:45:57,8.64,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000073,Vidya Rao Waghmare,UGF23AI175,A26,CSE-AIML-A,BIO0175,Right Middle,77.52,Good,2024-07-01,08:33:18,16:56:47,8.39,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000074,Vishal Das Kulkarni,UGF23AI176,B26,CSE-AIML-B,BIO0176,Right Index,82.3,Excellent,2024-07-01,08:20:57,16:41:10,8.34,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000075,Meera Lal Waghmare,UGF23AI177,C26,CSE-AIML-C,BIO0177,Right Thumb,88.56,Good,2024-07-01,08:18:59,16:31:32,8.21,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000076,Isha Mehta,UGF23AI178,A27,CSE-AIML-A,BIO0178,Right Middle,95.12,Excellent,2024-07-01,08:12:28,16:32:45,8.34,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000077,Onkar Kumar Mishra,UGF23AI179,B27,CSE-AIML-B,BIO0179,Right Thumb,99.5,Good,2024-07-01,08:55:50,16:37:57,7.7,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000078,Lalita Zende,UGF23AI180,C27,CSE-AIML-C,BIO0180,Right Little,81.35,Excellent,2024-07-01,08:47:03,16:46:30,7.99,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000079,Rahul Sai Jadhav,UGF23AI181,A28,CSE-AIML-A,BIO0181,Right Ring,87.44,Average,2024-07-01,08:40:31,16:07:43,7.45,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000080,Pallavi Devi Pillai,UGF23AI182,B28,CSE-AIML-B,BIO0182,Right Middle,95.39,Good,2024-07-01,08:37:42,16:26:51,7.82,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000081,Ekta Raj Vaidya,UGF23AI183,C28,CSE-AIML-C,BIO0183,Right Little,79.86,Excellent,2024-07-01,08:34:06,16:56:23,8.37,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000082,Sneha Lal,UGF23AI184,A29,CSE-AIML-A,BIO0184,Right Little,80.77,Good,2024-07-01,08:45:17,16:59:40,8.24,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000083,Zara Kumar Deshpande,UGF23AI185,B29,CSE-AIML-B,BIO0185,Right Thumb,90.73,Good,2024-07-01,08:01:33,16:04:09,8.04,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000084,Neha Rao Banerjee,UGF23AI186,C29,CSE-AIML-C,BIO0186,Right Little,89.92,Good,2024-07-01,08:29:38,16:35:43,8.1,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000085,Jayesh Junghare,UGF23AI187,A30,CSE-AIML-A,BIO0187,Right Little,78.16,Excellent,2024-07-01,08:01:37,16:29:41,8.47,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000086,Bhavna Das Bhosale,UGF23AI188,B30,CSE-AIML-B,BIO0188,Right Middle,76.24,Good,2024-07-01,08:10:45,16:04:53,7.9,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000087,Dhruv Mukherjee,UGF23AI189,C30,CSE-AIML-C,BIO0189,Right Thumb,79.69,Good,2024-07-01,08:37:12,16:04:20,7.45,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000088,Chandra Sai Wagh,UGF23AI190,A31,CSE-AIML-A,BIO0190,Right Index,89.84,Average,2024-07-01,08:48:07,16:06:55,7.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000089,Yogesh Devi Bhosale,UGF23AI191,B31,CSE-AIML-B,BIO0191,Right Middle,89.8,Good,2024-07-01,08:41:01,16:45:07,8.07,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000090,Seema Lal Nambiar,UGF23AI192,C31,CSE-AIML-C,BIO0192,Right Index,92.76,Excellent,2024-07-01,08:34:23,16:33:56,7.99,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000091,Farhan Das,UGF23AI193,A32,CSE-AIML-A,BIO0193,Right Thumb,95.79,Poor,2024-07-01,08:48:29,16:29:33,7.68,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000092,Omkar Kumar,UGF23AI194,B32,CSE-AIML-B,BIO0194,Right Thumb,81.96,Excellent,2024-07-01,08:03:05,16:37:22,8.57,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000093,Ramesh Ghosh,UGF23AI195,C32,CSE-AIML-C,BIO0195,Right Index,86.01,Average,2024-07-01,08:58:14,16:43:13,7.75,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000094,Lalit Unde,UGF23AI196,A33,CSE-AIML-A,BIO0196,Right Middle,84.08,Good,2024-07-01,08:35:50,16:57:06,8.35,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000095,Chandra Devi Banerjee,UGF23AI198,C33,CSE-AIML-C,BIO0198,Right Index,91.59,Excellent,2024-07-01,08:23:01,16:57:10,8.57,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000096,Yash Ghosh,UGF23AI199,A34,CSE-AIML-A,BIO0199,Right Middle,98.97,Good,2024-07-01,08:31:56,16:19:44,7.8,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000097,Om Bhatia,UGF23AI200,B34,CSE-AIML-B,BIO0200,Right Middle,78.9,Average,2024-07-01,08:55:23,16:00:37,7.09,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000098,Chetan Ingole,UGF23AI201,C34,CSE-AIML-C,BIO0201,Right Little,81.08,Excellent,2024-07-01,08:57:51,16:53:48,7.93,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000099,Dayanand Rao Zende,UGF23AI202,A35,CSE-AIML-A,BIO0202,Right Middle,97.5,Average,2024-07-01,08:34:01,16:51:22,8.29,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000100,Ravi Hegde,UGF23AI203,B35,CSE-AIML-B,BIO0203,Right Little,99.54,Good,2024-07-01,08:42:58,16:57:36,8.24,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000101,Priti Ram Dubey,UGF23AI204,C35,CSE-AIML-C,BIO0204,Right Index,81.9,Excellent,2024-07-01,08:48:34,16:24:16,7.59,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000102,Firoz Unde,UGF23AI205,A36,CSE-AIML-A,BIO0205,Right Index,76.56,Average,2024-07-01,08:21:52,16:07:12,7.76,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000103,Iqbal Ingle,UGF23AI206,B36,CSE-AIML-B,BIO0206,Right Little,99.44,Good,2024-07-01,08:15:52,16:34:45,8.31,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000104,Sarita Devi Unde,UGF23AI207,C36,CSE-AIML-C,BIO0207,Right Little,90.76,Excellent,2024-07-01,08:25:36,16:19:20,7.9,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000105,Akash Rao Rao,UGF23AI208,A37,CSE-AIML-A,BIO0208,Right Little,99.48,Good,2024-07-01,08:01:18,16:39:48,8.64,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000106,Rekha Nath Tiwari,UGF23AI209,B37,CSE-AIML-B,BIO0209,Right Thumb,81.64,Good,2024-07-01,08:25:57,16:35:52,8.17,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000107,Seema Mane,UGF23AI210,C37,CSE-AIML-C,BIO0210,Right Middle,92.2,Average,2024-07-01,08:23:29,16:22:01,7.98,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000108,Vikas Prasad Nair,UGF23AI212,B38,CSE-AIML-B,BIO0212,Right Ring,83.73,Excellent,2024-07-01,08:18:37,16:15:39,7.95,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000109,Kiran Chand Mishra,UGF23AI213,C38,CSE-AIML-C,BIO0213,Right Middle,89.13,Good,2024-07-01,08:47:16,16:43:03,7.93,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000110,Dev Das Londhe,UGF23AI214,A39,CSE-AIML-A,BIO0214,Right Little,94.51,Good,2024-07-01,08:03:29,16:16:51,8.22,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000111,Fatima Ram Upadhyay,UGF23AI215,B39,CSE-AIML-B,BIO0215,Right Ring,88.07,Excellent,2024-07-01,08:56:26,16:06:25,7.17,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000112,Soham Iyer,UGF23AI216,C39,CSE-AIML-C,BIO0216,Right Index,96.19,Excellent,2024-07-01,08:56:35,16:21:53,7.42,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000113,Tanvi Nath Chopra,UGF23AI217,A40,CSE-AIML-A,BIO0217,Right Index,90.62,Good,2024-07-01,08:36:51,16:11:35,7.58,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000114,Gunjan Devi Rao,UGF23AI218,B40,CSE-AIML-B,BIO0218,Right Little,79.04,Average,2024-07-01,08:05:16,16:14:22,8.15,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000115,Zara Lal Zende,UGF23AI219,C40,CSE-AIML-C,BIO0219,Right Ring,98.56,Good,2024-07-01,08:04:50,16:09:42,8.08,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000116,Wasim Bala Nair,UGF23AI220,A41,CSE-AIML-A,BIO0220,Right Middle,85.11,Good,2024-07-01,08:17:33,16:07:15,7.83,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000117,Lalita Gaikwad,UGF23AI221,B41,CSE-AIML-B,BIO0221,Right Thumb,85.89,Excellent,2024-07-01,08:15:33,16:42:34,8.45,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000118,Mahesh Wagh,UGF23AI222,C41,CSE-AIML-C,BIO0222,Right Ring,95.94,Poor,2024-07-01,08:09:54,16:06:51,7.95,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000119,Meera Ram Chatterjee,UGF23AI223,A42,CSE-AIML-A,BIO0223,Right Index,84.3,Excellent,2024-07-01,08:03:08,16:12:43,8.16,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000120,Ishaan Raj Wagh,UGF23AI224,B42,CSE-AIML-B,BIO0224,Right Index,87.66,Excellent,2024-07-01,08:00:52,16:53:18,8.87,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000121,Farhan Bala Pawar,UGF23AI225,C42,CSE-AIML-C,BIO0225,Right Ring,87.7,Poor,2024-07-01,08:03:49,16:51:20,8.79,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000122,Aditi Prasad Hivrale,UGF23AI226,A43,CSE-AIML-A,BIO0226,Right Ring,88.36,Poor,2024-07-01,08:05:14,16:43:02,8.63,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000123,Urmila Zende,UGF23AI227,B43,CSE-AIML-B,BIO0227,Right Thumb,95.43,Poor,2024-07-01,08:22:25,16:40:30,8.3,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000124,Varun Prakash Raut,UGF23AI228,C43,CSE-AIML-C,BIO0228,Right Middle,92.9,Excellent,2024-07-01,08:18:38,16:18:12,7.99,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000125,Kalpesh Bala Hande,UGF23AI229,A44,CSE-AIML-A,BIO0229,Right Ring,84.68,Good,2024-07-01,08:56:01,16:47:04,7.85,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000126,Nandini Kumar Ingle,UGF23AI230,B44,CSE-AIML-B,BIO0230,Right Little,87.61,Poor,2024-07-01,08:33:39,16:10:26,7.61,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000127,Vidya Das Kumar,UGF23AI231,C44,CSE-AIML-C,BIO0231,Right Thumb,75.9,Excellent,2024-07-01,08:06:08,16:10:14,8.07,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000128,Gajanan Raj Tiwari,UGF23AI232,A45,CSE-AIML-A,BIO0232,Right Ring,95.39,Poor,2024-07-01,08:24:54,16:07:11,7.7,RDR-BIO-000,ZKTeco K40,Main Gate
GATE0000129,Pankaj Das Upadhyay,UGF23AI233,B45,CSE-AIML-B,BIO0233,Right Middle,86.78,Good,2024-07-01,08:06:31,16:35:12,8.48,RDR-BIO-000,ZKTeco K40,Main Gate
