log_id,full_name,student_id,roll_number,class_section,biometric_id,date,time_in,time_out,attendance_status,fingerprint_template,finger_used,match_score,scan_quality,scan_attempts,scan_result,device_id,device_name,subject_code,subject_name,day,reader_location,biometric_status
BIO00000014,Farhan Dange,UGF23AI113,B05,CSE-AIML-B,BIO0113,2024-07-01,,,Absent,FP-UGF23AI113-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000015,Onkar Prasad Mishra,UGF23AI114,C05,CSE-AIML-C,BIO0114,2024-07-01,09:03:00,10:08:00,Present,FP-UGF23AI114-F01,Right Index,82.92,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000016,Divya Zende,UGF23AI115,A06,CSE-AIML-A,BIO0115,2024-07-01,09:03:00,09:52:00,Present,FP-UGF23AI115-F00,Right Thumb,79.69,Good,2,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000017,Nikhil Prakash Hatwar,UGF23AI116,B06,CSE-AIML-B,BIO0116,2024-07-01,,,Absent,FP-UGF23AI116-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000018,Bhushan Raj Chatterjee,UGF23AI117,C06,CSE-AIML-C,BIO0117,2024-07-01,09:01:00,09:50:00,Present,FP-UGF23AI117-F04,Right Little,75.29,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000019,Gunjan Pandey,UGF23AI118,A07,CSE-AIML-A,BIO0118,2024-07-01,,,Absent,FP-UGF23AI118-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000020,Fatima Lal Ahuja,UGF23AI119,B07,CSE-AIML-B,BIO0119,2024-07-01,09:01:00,09:48:00,Present,FP-UGF23AI119-F00,Right Thumb,78.42,Average,2,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000021,Farhan Devi Pandey,UGF23AI120,C07,CSE-AIML-C,BIO0120,2024-07-01,09:03:00,10:07:00,Present,FP-UGF23AI120-F04,Right Little,79.48,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000022,Manish Chand Mehta,UGF23AI121,A08,CSE-AIML-A,BIO0121,2024-07-01,09:01:00,09:59:00,Present,FP-UGF23AI121-F02,Right Middle,90.05,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000023,Iqbal Raj Pillai,UGF23AI122,B08,CSE-AIML-B,BIO0122,2024-07-01,09:03:00,10:05:00,Present,FP-UGF23AI122-F00,Right Thumb,89.35,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000024,Kavya Devi Yadav,UGF23AI123,C08,CSE-AIML-C,BIO0123,2024-07-01,,,Absent,FP-UGF23AI123-F04,Right Little,0.0,,0,Device Inactive,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Inactive
BIO00000025,Priya Das Shah,UGF23AI124,A09,CSE-AIML-A,BIO0124,2024-07-01,09:03:00,09:50:00,Present,FP-UGF23AI124-F04,Right Little,78.54,Good,3,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000026,Hina Das Thakur,UGF23AI125,B09,CSE-AIML-B,BIO0125,2024-07-01,,,Absent,FP-UGF23AI125-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000027,Rajesh Shankar Chavan,UGF23AI126,C09,CSE-AIML-C,BIO0126,2024-07-01,,,Absent,FP-UGF23AI126-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000028,Indira Sai Hegde,UGF23AI127,A10,CSE-AIML-A,BIO0127,2024-07-01,09:25:00,10:17:00,Late,FP-UGF23AI127-F04,Right Little,86.76,Good,3,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000029,Amrita Shankar Londhe,UGF23AI128,B10,CSE-AIML-B,BIO0128,2024-07-01,09:02:00,10:06:00,Present,FP-UGF23AI128-F04,Right Little,76.31,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000030,Chetna Lal Ghosh,UGF23AI129,C10,CSE-AIML-C,BIO0129,2024-07-01,09:03:00,10:06:00,Present,FP-UGF23AI129-F04,Right Little,93.27,Good,3,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000031,Lalit Shankar Salve,UGF23AI130,A11,CSE-AIML-A,BIO0130,2024-07-01,,,Absent,FP-UGF23AI130-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000032,Pooja Lal Patel,UGF23AI131,B11,CSE-AIML-B,BIO0131,2024-07-01,09:27:00,10:30:00,Late,FP-UGF23AI131-F00,Right Thumb,81.49,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000033,Abhishek Kumar Shah,UGF23AI132,C11,CSE-AIML-C,BIO0132,2024-07-01,09:02:00,10:06:00,Present,FP-UGF23AI132-F03,Right Ring,75.68,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000034,Indira Ram Ingole,UGF23AI133,A12,CSE-AIML-A,BIO0133,2024-07-01,09:02:00,09:51:00,Present,FP-UGF23AI133-F03,Right Ring,90.33,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000035,Wasim Nambiar,UGF23AI134,B12,CSE-AIML-B,BIO0134,2024-07-01,09:01:00,10:00:00,Present,FP-UGF23AI134-F01,Right Index,84.21,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000036,Dev Sai Dalvi,UGF23AI135,C12,CSE-AIML-C,BIO0135,2024-07-01,09:00:00,09:55:00,Present,FP-UGF23AI135-F00,Right Thumb,99.5,Poor,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000037,Jagdish Naik,UGF23AI136,A13,CSE-AIML-A,BIO0136,2024-07-01,,,Absent,FP-UGF23AI136-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000038,Sarita Prakash Bhatia,UGF23AI137,B13,CSE-AIML-B,BIO0137,2024-07-01,,,Absent,FP-UGF23AI137-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000039,Shruti Prakash Das,UGF23AI138,C13,CSE-AIML-C,BIO0138,2024-07-01,,,Absent,FP-UGF23AI138-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000040,Zara Das Rao,UGF23AI139,A14,CSE-AIML-A,BIO0139,2024-07-01,09:03:00,10:08:00,Present,FP-UGF23AI139-F01,Right Index,79.17,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000041,Sandeep Rao Bhatia,UGF23AI140,B14,CSE-AIML-B,BIO0140,2024-07-01,09:00:00,09:46:00,Present,FP-UGF23AI140-F01,Right Index,79.17,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000042,Devika Shankar Joshi,UGF23AI141,C14,CSE-AIML-C,BIO0141,2024-07-01,09:01:00,09:58:00,Present,FP-UGF23AI141-F00,Right Thumb,92.02,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000043,Chetan Devi Raut,UGF23AI142,A15,CSE-AIML-A,BIO0142,2024-07-01,09:02:00,10:01:00,Present,FP-UGF23AI142-F03,Right Ring,84.51,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000044,Siddharth Vaghmare,UGF23AI143,B15,CSE-AIML-B,BIO0143,2024-07-01,,,Absent,FP-UGF23AI143-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000045,Tejas Ram Deshpande,UGF23AI144,C15,CSE-AIML-C,BIO0144,2024-07-01,09:02:00,10:00:00,Present,FP-UGF23AI144-F02,Right Middle,90.2,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000046,Hina Ambhore,UGF23AI145,A16,CSE-AIML-A,BIO0145,2024-07-01,09:02:00,10:07:00,Present,FP-UGF23AI145-F03,Right Ring,89.55,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000047,Yogesh Rao Gangurde,UGF23AI146,B16,CSE-AIML-B,BIO0146,2024-07-01,09:01:00,10:02:00,Present,FP-UGF23AI146-F03,Right Ring,83.4,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000048,Abhishek Nath Ghosh,UGF23AI147,C16,CSE-AIML-C,BIO0147,2024-07-01,09:00:00,09:45:00,Present,FP-UGF23AI147-F04,Right Little,85.24,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000049,Chandra Kulkarni,UGF23AI148,A17,CSE-AIML-A,BIO0148,2024-07-01,09:02:00,09:53:00,Present,FP-UGF23AI148-F02,Right Middle,75.85,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000050,Om Raj Reddy,UGF23AI149,B17,CSE-AIML-B,BIO0149,2024-07-01,09:01:00,10:05:00,Present,FP-UGF23AI149-F03,Right Ring,90.89,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000051,Sakshi Prasad Ambhore,UGF23AI150,C17,CSE-AIML-C,BIO0150,2024-07-01,,,Absent,FP-UGF23AI150-F01,Right Index,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000052,Gajanan Prasad Jain,UGF23AI151,A18,CSE-AIML-A,BIO0151,2024-07-01,09:01:00,09:49:00,Present,FP-UGF23AI151-F01,Right Index,92.32,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000053,Ritika Bala Vaidya,UGF23AI152,B18,CSE-AIML-B,BIO0152,2024-07-01,09:02:00,10:00:00,Present,FP-UGF23AI152-F01,Right Index,92.24,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000054,Tariq Lal Joshi,UGF23AI153,C18,CSE-AIML-C,BIO0153,2024-07-01,09:02:00,09:48:00,Present,FP-UGF23AI153-F04,Right Little,84.53,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000055,Tejas Nair,UGF23AI154,A19,CSE-AIML-A,BIO0154,2024-07-01,09:03:00,09:50:00,Present,FP-UGF23AI154-F04,Right Little,87.24,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000056,Tushar Chand Dange,UGF23AI155,B19,CSE-AIML-B,BIO0155,2024-07-01,09:01:00,10:03:00,Present,FP-UGF23AI155-F03,Right Ring,94.14,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000057,Pallavi Rao Dalvi,UGF23AI156,C19,CSE-AIML-C,BIO0156,2024-07-01,,,Absent,FP-UGF23AI156-F01,Right Index,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000058,Harsha Ram Reddy,UGF23AI157,A20,CSE-AIML-A,BIO0157,2024-07-01,09:08:00,10:11:00,Late,FP-UGF23AI157-F04,Right Little,93.12,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000059,Jagdish Raj Jain,UGF23AI158,B20,CSE-AIML-B,BIO0158,2024-07-01,09:00:00,09:46:00,Present,FP-UGF23AI158-F03,Right Ring,91.55,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000060,Ravi Prasad Lokhande,UGF23AI159,C20,CSE-AIML-C,BIO0159,2024-07-01,,,Absent,FP-UGF23AI159-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000061,Pankaj Salve,UGF23AI160,A21,CSE-AIML-A,BIO0160,2024-07-01,09:03:00,10:03:00,Present,FP-UGF23AI160-F03,Right Ring,85.86,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000062,Madhuri Narwade,UGF23AI161,B21,CSE-AIML-B,BIO0161,2024-07-01,,,Absent,FP-UGF23AI161-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000063,Hemant Naik,UGF23AI162,C21,CSE-AIML-C,BIO0162,2024-07-01,09:21:00,10:24:00,Late,FP-UGF23AI162-F03,Right Ring,88.33,Poor,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000064,Aditi Lal Dalvi,UGF23AI163,A22,CSE-AIML-A,BIO0163,2024-07-01,09:10:00,10:12:00,Late,FP-UGF23AI163-F02,Right Middle,96.25,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000065,Vanshika Waghmare,UGF23AI164,B22,CSE-AIML-B,BIO0164,2024-07-01,09:01:00,09:51:00,Present,FP-UGF23AI164-F02,Right Middle,88.81,Poor,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000066,Abhishek Bala Patel,UGF23AI165,C22,CSE-AIML-C,BIO0165,2024-07-01,09:00:00,10:05:00,Present,FP-UGF23AI165-F02,Right Middle,92.15,Good,2,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000067,Gaurav Naik,UGF23AI166,A23,CSE-AIML-A,BIO0166,2024-07-01,09:00:00,09:51:00,Present,FP-UGF23AI166-F04,Right Little,75.63,Poor,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000068,Tushar Agarwal,UGF23AI167,B23,CSE-AIML-B,BIO0167,2024-07-01,,,Absent,FP-UGF23AI167-F02,Right Middle,0.0,,0,Device Inactive,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Inactive
BIO00000069,Dhruv Kadam,UGF23AI168,C23,CSE-AIML-C,BIO0168,2024-07-01,09:02:00,10:02:00,Present,FP-UGF23AI168-F00,Right Thumb,88.3,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000070,Ritika Kadam,UGF23AI169,A24,CSE-AIML-A,BIO0169,2024-07-01,,,Absent,FP-UGF23AI169-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000071,Harsha Bala Das,UGF23AI170,B24,CSE-AIML-B,BIO0170,2024-07-01,09:10:00,09:58:00,Late,FP-UGF23AI170-F01,Right Index,80.27,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000072,Suresh Ram Mehta,UGF23AI171,C24,CSE-AIML-C,BIO0171,2024-07-01,,,Absent,FP-UGF23AI171-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000073,Tushar Chand Gite,UGF23AI172,A25,CSE-AIML-A,BIO0172,2024-07-01,09:01:00,09:48:00,Present,FP-UGF23AI172-F00,Right Thumb,75.92,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000074,Tanvi Sai Mehta,UGF23AI173,B25,CSE-AIML-B,BIO0173,2024-07-01,09:00:00,09:52:00,Present,FP-UGF23AI173-F03,Right Ring,92.46,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000075,Hemant Lal Fulzele,UGF23AI174,C25,CSE-AIML-C,BIO0174,2024-07-01,09:00:00,09:59:00,Present,FP-UGF23AI174-F03,Right Ring,90.22,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000076,Vidya Rao Waghmare,UGF23AI175,A26,CSE-AIML-A,BIO0175,2024-07-01,,,Absent,FP-UGF23AI175-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000077,Vishal Das Kulkarni,UGF23AI176,B26,CSE-AIML-B,BIO0176,2024-07-01,09:01:00,09:48:00,Present,FP-UGF23AI176-F01,Right Index,95.03,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000078,Meera Lal Waghmare,UGF23AI177,C26,CSE-AIML-C,BIO0177,2024-07-01,,,Absent,FP-UGF23AI177-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000079,Isha Mehta,UGF23AI178,A27,CSE-AIML-A,BIO0178,2024-07-01,09:01:00,09:56:00,Present,FP-UGF23AI178-F02,Right Middle,95.83,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000080,Onkar Kumar Mishra,UGF23AI179,B27,CSE-AIML-B,BIO0179,2024-07-01,09:00:00,09:53:00,Present,FP-UGF23AI179-F00,Right Thumb,78.52,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000081,Lalita Zende,UGF23AI180,C27,CSE-AIML-C,BIO0180,2024-07-01,09:00:00,09:49:00,Present,FP-UGF23AI180-F04,Right Little,77.49,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000082,Rahul Sai Jadhav,UGF23AI181,A28,CSE-AIML-A,BIO0181,2024-07-01,09:21:00,10:06:00,Late,FP-UGF23AI181-F03,Right Ring,75.18,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000083,Pallavi Devi Pillai,UGF23AI182,B28,CSE-AIML-B,BIO0182,2024-07-01,09:03:00,09:52:00,Present,FP-UGF23AI182-F02,Right Middle,80.13,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000084,Ekta Raj Vaidya,UGF23AI183,C28,CSE-AIML-C,BIO0183,2024-07-01,09:00:00,10:04:00,Present,FP-UGF23AI183-F04,Right Little,79.48,Good,3,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000085,Sneha Lal,UGF23AI184,A29,CSE-AIML-A,BIO0184,2024-07-01,09:02:00,10:00:00,Present,FP-UGF23AI184-F04,Right Little,75.11,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000086,Zara Kumar Deshpande,UGF23AI185,B29,CSE-AIML-B,BIO0185,2024-07-01,09:18:00,10:17:00,Late,FP-UGF23AI185-F00,Right Thumb,94.18,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000087,Neha Rao Banerjee,UGF23AI186,C29,CSE-AIML-C,BIO0186,2024-07-01,09:03:00,10:03:00,Present,FP-UGF23AI186-F04,Right Little,79.39,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000088,Jayesh Junghare,UGF23AI187,A30,CSE-AIML-A,BIO0187,2024-07-01,09:03:00,09:56:00,Present,FP-UGF23AI187-F04,Right Little,83.32,Average,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000089,Bhavna Das Bhosale,UGF23AI188,B30,CSE-AIML-B,BIO0188,2024-07-01,09:01:00,09:51:00,Present,FP-UGF23AI188-F02,Right Middle,94.56,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000090,Dhruv Mukherjee,UGF23AI189,C30,CSE-AIML-C,BIO0189,2024-07-01,,,Absent,FP-UGF23AI189-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000091,Chandra Sai Wagh,UGF23AI190,A31,CSE-AIML-A,BIO0190,2024-07-01,09:02:00,10:00:00,Present,FP-UGF23AI190-F01,Right Index,79.95,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000092,Yogesh Devi Bhosale,UGF23AI191,B31,CSE-AIML-B,BIO0191,2024-07-01,,,Absent,FP-UGF23AI191-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000093,Seema Lal Nambiar,UGF23AI192,C31,CSE-AIML-C,BIO0192,2024-07-01,09:20:00,10:17:00,Late,FP-UGF23AI192-F01,Right Index,97.19,Excellent,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
BIO00000094,Farhan Das,UGF23AI193,A32,CSE-AIML-A,BIO0193,2024-07-01,09:01:00,10:05:00,Present,FP-UGF23AI193-F00,Right Thumb,86.33,Good,1,Match Success,RDR-BIO-001,ZKTeco K40,AIPC350T,Deep Learning,Monday,Lab-A1,Active
