full_name,first_name,middle_name,last_name,gender,date_of_birth,student_id,roll_number,enrollment_number,department,course,year_semester,class_section,mobile_number,email_id,guardian_name,parent_contact,biometric_id,registered_finger,fingerprint_template,minutiae_count,enrollment_device,enrollment_date,biometric_status,backup_finger
Farhan Nair,Farhan,,Nair,Female,2003-02-24,UGF23AI110,B04,EN2423AI110,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9237859287,farhan.nair94@jit.edu,Prof. Chetna Nair,9277303722,BIO0110,Right Little,FP-UGF23AI110-F04,34,ZKTeco K40,2024-06-11,Active,Left Middle
Mithun Iyer,Mithun,,Iyer,Female,2003-12-10,UGF23AI111,C04,EN2423AI111,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9584779555,mithun.iyer25@jit.edu,Mrs. Ravi Iyer,9168747287,BIO0111,Right Ring,FP-UGF23AI111-F03,39,Mantra MFS100,2024-06-14,Active,Left Little
Ravi Kumar Joshi,Ravi,Kumar,Joshi,Male,2003-12-21,UGF23AI112,A05,EN2423AI112,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9454794895,ravi.joshi19@jit.edu,Mrs. Sneha Joshi,9818309417,BIO0112,Right Thumb,FP-UGF23AI112-F00,49,ZKTeco SF100,2024-06-25,Active,Right Ring
Farhan Dange,Farhan,,Dange,Female,2003-08-08,UGF23AI113,B05,EN2423AI113,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9201281557,farhan.dange22@jit.edu,Prof. Aditya Dange,9554814084,BIO0113,Right Ring,FP-UGF23AI113-F03,44,Startek FM220U,2024-06-01,Active,Right Thumb
Onkar Prasad Mishra,Onkar,Prasad,Mishra,Female,2003-07-24,UGF23AI114,C05,EN2423AI114,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9304235259,onkar.mishra78@jit.edu,Prof. Manish Mishra,9552991960,BIO0114,Right Index,FP-UGF23AI114-F01,29,ZKTeco K40,2024-06-16,Active,Right Little
Divya Zende,Divya,,Zende,Male,2003-02-02,UGF23AI115,A06,EN2423AI115,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9909134796,divya.zende40@jit.edu,Mrs. Hina Zende,9621453189,BIO0115,Right Thumb,FP-UGF23AI115-F00,48,Secugen Hamster Pro,2024-06-06,Active,Left Middle
Nikhil Prakash Hatwar,Nikhil,Prakash,Hatwar,Male,2003-07-09,UGF23AI116,B06,EN2423AI116,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9847959430,nikhil.hatwar81@jit.edu,Prof. Mohit Hatwar,9303901283,BIO0116,Right Middle,FP-UGF23AI116-F02,36,Startek FM220U,2024-06-01,Active,Right Thumb
Bhushan Raj Chatterjee,Bhushan,Raj,Chatterjee,Female,2003-01-02,UGF23AI117,C06,EN2423AI117,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9269042105,bhushan.chatterjee17@jit.edu,Mr. Yamini Chatterjee,9299528037,BIO0117,Right Little,FP-UGF23AI117-F04,22,Startek FM220U,2024-06-08,Active,Right Ring
Gunjan Pandey,Gunjan,,Pandey,Male,2003-10-20,UGF23AI118,A07,EN2423AI118,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9805849060,gunjan.pandey84@jit.edu,Dr. Nilesh Pandey,9379995032,BIO0118,Right Thumb,FP-UGF23AI118-F00,31,Secugen Hamster Pro,2024-06-25,Active,Left Index
Fatima Lal Ahuja,Fatima,Lal,Ahuja,Male,2003-08-11,UGF23AI119,B07,EN2423AI119,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9766964667,fatima.ahuja82@jit.edu,Mr. Divya Ahuja,9677280546,BIO0119,Right Thumb,FP-UGF23AI119-F00,31,ZKTeco K40,2024-06-02,Active,Right Ring
Farhan Devi Pandey,Farhan,Devi,Pandey,Male,2003-06-10,UGF23AI120,C07,EN2423AI120,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9756783995,farhan.pandey93@jit.edu,Mr. Sarita Pandey,9977358886,BIO0120,Right Little,FP-UGF23AI120-F04,53,Startek FM220U,2024-06-21,Active,Right Index
Manish Chand Mehta,Manish,Chand,Mehta,Male,2003-02-24,UGF23AI121,A08,EN2423AI121,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9749431082,manish.mehta36@jit.edu,Dr. Priya Mehta,9838194420,BIO0121,Right Middle,FP-UGF23AI121-F02,58,ZKTeco SF100,2024-06-09,Active,Left Little
Iqbal Raj Pillai,Iqbal,Raj,Pillai,Male,2003-11-14,UGF23AI122,B08,EN2423AI122,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9927982963,iqbal.pillai26@jit.edu,Dr. Neha Pillai,9895890631,BIO0122,Right Thumb,FP-UGF23AI122-F00,46,ZKTeco K40,2024-06-18,Active,Left Middle
Kavya Devi Yadav,Kavya,Devi,Yadav,Female,2003-09-02,UGF23AI123,C08,EN2423AI123,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9561479973,kavya.yadav26@jit.edu,Mr. Uday Yadav,9491541578,BIO0123,Right Little,FP-UGF23AI123-F04,68,Secugen Hamster Pro,2024-06-15,Inactive,Right Thumb
Priya Das Shah,Priya,Das,Shah,Female,2003-06-25,UGF23AI124,A09,EN2423AI124,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9354194771,priya.shah30@jit.edu,Mrs. Farhan Shah,9542697755,BIO0124,Right Little,FP-UGF23AI124-F04,19,Startek FM220U,2024-06-09,Active,Left Index
Hina Das Thakur,Hina,Das,Thakur,Male,2003-03-26,UGF23AI125,B09,EN2423AI125,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9605399561,hina.thakur38@jit.edu,Mrs. Seema Thakur,9594246837,BIO0125,Right Ring,FP-UGF23AI125-F03,40,ZKTeco K40,2024-06-04,Active,Right Little
Rajesh Shankar Chavan,Rajesh,Shankar,Chavan,Female,2003-06-09,UGF23AI126,C09,EN2423AI126,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9529151399,rajesh.chavan96@jit.edu,Dr. Anika Chavan,9223847257,BIO0126,Right Middle,FP-UGF23AI126-F02,34,Mantra MFS100,2024-06-24,Active,Left Thumb
Indira Sai Hegde,Indira,Sai,Hegde,Female,2003-12-26,UGF23AI127,A10,EN2423AI127,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9224173718,indira.hegde59@jit.edu,Mrs. Sandeep Hegde,9147659674,BIO0127,Right Little,FP-UGF23AI127-F04,63,Startek FM220U,2024-06-16,Active,Left Little
Amrita Shankar Londhe,Amrita,Shankar,Londhe,Male,2003-07-03,UGF23AI128,B10,EN2423AI128,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9812306873,amrita.londhe25@jit.edu,Dr. Urmila Londhe,9432091877,BIO0128,Right Little,FP-UGF23AI128-F04,60,Mantra MFS100,2024-06-05,Active,Left Middle
Chetna Lal Ghosh,Chetna,Lal,Ghosh,Female,2003-07-22,UGF23AI129,C10,EN2423AI129,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9423142470,chetna.ghosh61@jit.edu,Mr. Tanvi Ghosh,9408071259,BIO0129,Right Little,FP-UGF23AI129-F04,31,ZKTeco SF100,2024-06-14,Active,Left Index
Lalit Shankar Salve,Lalit,Shankar,Salve,Male,2003-08-26,UGF23AI130,A11,EN2423AI130,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9653462378,lalit.salve94@jit.edu,Dr. Harsha Salve,9978775497,BIO0130,Right Thumb,FP-UGF23AI130-F00,66,ZKTeco SF100,2024-06-01,Active,Left Thumb
Pooja Lal Patel,Pooja,Lal,Patel,Male,2003-01-08,UGF23AI131,B11,EN2423AI131,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9545002643,pooja.patel90@jit.edu,Mrs. Devika Patel,9847704681,BIO0131,Right Thumb,FP-UGF23AI131-F00,42,Secugen Hamster Pro,2024-06-11,Active,Right Little
Abhishek Kumar Shah,Abhishek,Kumar,Shah,Male,2003-07-08,UGF23AI132,C11,EN2423AI132,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9698509918,abhishek.shah41@jit.edu,Mr. Navin Shah,9243171768,BIO0132,Right Ring,FP-UGF23AI132-F03,69,Secugen Hamster Pro,2024-06-21,Active,Left Little
Indira Ram Ingole,Indira,Ram,Ingole,Female,2003-10-27,UGF23AI133,A12,EN2423AI133,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9578796089,indira.ingole30@jit.edu,Prof. Madhuri Ingole,9378304807,BIO0133,Right Ring,FP-UGF23AI133-F03,66,Secugen Hamster Pro,2024-06-03,Active,Left Thumb
Wasim Nambiar,Wasim,,Nambiar,Male,2003-05-15,UGF23AI134,B12,EN2423AI134,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9460613550,wasim.nambiar50@jit.edu,Mr. Manish Nambiar,9261953189,BIO0134,Right Index,FP-UGF23AI134-F01,32,Mantra MFS100,2024-06-24,Active,Right Ring
Dev Sai Dalvi,Dev,Sai,Dalvi,Female,2003-06-18,UGF23AI135,C12,EN2423AI135,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9994310083,dev.dalvi63@jit.edu,Prof. Iqbal Dalvi,9926561919,BIO0135,Right Thumb,FP-UGF23AI135-F00,55,Startek FM220U,2024-06-12,Active,Right Index
Jagdish Naik,Jagdish,,Naik,Male,2003-08-01,UGF23AI136,A13,EN2423AI136,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9677909930,jagdish.naik79@jit.edu,Mrs. Sumit Naik,9335602191,BIO0136,Right Ring,FP-UGF23AI136-F03,35,Mantra MFS100,2024-06-15,Active,Right Thumb
Sarita Prakash Bhatia,Sarita,Prakash,Bhatia,Male,2003-08-05,UGF23AI137,B13,EN2423AI137,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9735540030,sarita.bhatia82@jit.edu,Mr. Gaurav Bhatia,9790147183,BIO0137,Right Thumb,FP-UGF23AI137-F00,45,Secugen Hamster Pro,2024-06-07,Active,Left Ring
Shruti Prakash Das,Shruti,Prakash,Das,Male,2003-04-15,UGF23AI138,C13,EN2423AI138,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9907464398,shruti.das63@jit.edu,Dr. Uma Das,9187946147,BIO0138,Right Ring,FP-UGF23AI138-F03,48,Mantra MFS100,2024-06-16,Active,Left Little
Zara Das Rao,Zara,Das,Rao,Female,2003-11-02,UGF23AI139,A14,EN2423AI139,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9121882877,zara.rao89@jit.edu,Mrs. Rohit Rao,9235528741,BIO0139,Right Index,FP-UGF23AI139-F01,48,ZKTeco K40,2024-06-02,Active,Right Little
Sandeep Rao Bhatia,Sandeep,Rao,Bhatia,Male,2003-10-20,UGF23AI140,B14,EN2423AI140,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9216070149,sandeep.bhatia84@jit.edu,Mr. Mithun Bhatia,9434961542,BIO0140,Right Index,FP-UGF23AI140-F01,54,ZKTeco K40,2024-06-03,Active,Left Middle
Devika Shankar Joshi,Devika,Shankar,Joshi,Male,2003-10-23,UGF23AI141,C14,EN2423AI141,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9834717549,devika.joshi86@jit.edu,Mr. Nandini Joshi,9707665448,BIO0141,Right Thumb,FP-UGF23AI141-F00,68,ZKTeco SF100,2024-06-06,Active,Left Little
Chetan Devi Raut,Chetan,Devi,Raut,Male,2003-11-11,UGF23AI142,A15,EN2423AI142,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9565492204,chetan.raut56@jit.edu,Prof. Chandra Raut,9264272995,BIO0142,Right Ring,FP-UGF23AI142-F03,45,Startek FM220U,2024-06-26,Active,Left Little
Siddharth Vaghmare,Siddharth,,Vaghmare,Male,2003-08-15,UGF23AI143,B15,EN2423AI143,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9363598427,siddharth.vaghmare21@jit.edu,Dr. Farhan Vaghmare,9584044963,BIO0143,Right Middle,FP-UGF23AI143-F02,33,Secugen Hamster Pro,2024-06-13,Active,Left Middle
Tejas Ram Deshpande,Tejas,Ram,Deshpande,Male,2003-08-07,UGF23AI144,C15,EN2423AI144,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9740116562,tejas.deshpande99@jit.edu,Dr. Disha Deshpande,9110899674,BIO0144,Right Middle,FP-UGF23AI144-F02,51,Mantra MFS100,2024-06-15,Active,Right Index
Hina Ambhore,Hina,,Ambhore,Male,2003-04-23,UGF23AI145,A16,EN2423AI145,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9199915275,hina.ambhore47@jit.edu,Mrs. Girish Ambhore,9842800803,BIO0145,Right Ring,FP-UGF23AI145-F03,33,Startek FM220U,2024-06-11,Active,Left Index
Yogesh Rao Gangurde,Yogesh,Rao,Gangurde,Male,2003-12-18,UGF23AI146,B16,EN2423AI146,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9429233929,yogesh.gangurde42@jit.edu,Mrs. Kunal Gangurde,9874473159,BIO0146,Right Ring,FP-UGF23AI146-F03,30,Mantra MFS100,2024-06-16,Active,Left Little
Abhishek Nath Ghosh,Abhishek,Nath,Ghosh,Female,2003-04-24,UGF23AI147,C16,EN2423AI147,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9740799178,abhishek.ghosh46@jit.edu,Mr. Uma Ghosh,9308432166,BIO0147,Right Little,FP-UGF23AI147-F04,36,Mantra MFS100,2024-06-11,Active,Right Middle
Chandra Kulkarni,Chandra,,Kulkarni,Female,2003-05-02,UGF23AI148,A17,EN2423AI148,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9784907325,chandra.kulkarni72@jit.edu,Mr. Dayanand Kulkarni,9113169872,BIO0148,Right Middle,FP-UGF23AI148-F02,54,Secugen Hamster Pro,2024-06-25,Active,Left Ring
Om Raj Reddy,Om,Raj,Reddy,Male,2003-08-04,UGF23AI149,B17,EN2423AI149,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9719571745,om.reddy90@jit.edu,Mr. Mohit Reddy,9260199682,BIO0149,Right Ring,FP-UGF23AI149-F03,69,Startek FM220U,2024-06-24,Active,Left Thumb
Sakshi Prasad Ambhore,Sakshi,Prasad,Ambhore,Female,2003-07-20,UGF23AI150,C17,EN2423AI150,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9508427798,sakshi.ambhore67@jit.edu,Prof. Tanvi Ambhore,9731924051,BIO0150,Right Index,FP-UGF23AI150-F01,45,Secugen Hamster Pro,2024-06-07,Active,Right Thumb
Gajanan Prasad Jain,Gajanan,Prasad,Jain,Female,2003-11-07,UGF23AI151,A18,EN2423AI151,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9286630878,gajanan.jain80@jit.edu,Mr. Neha Jain,9102873038,BIO0151,Right Index,FP-UGF23AI151-F01,44,ZKTeco K40,2024-06-18,Active,Left Ring
Ritika Bala Vaidya,Ritika,Bala,Vaidya,Male,2003-12-28,UGF23AI152,B18,EN2423AI152,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9945923902,ritika.vaidya90@jit.edu,Mrs. Jayesh Vaidya,9223240112,BIO0152,Right Index,FP-UGF23AI152-F01,52,ZKTeco K40,2024-06-12,Active,Right Ring
Tariq Lal Joshi,Tariq,Lal,Joshi,Female,2003-01-06,UGF23AI153,C18,EN2423AI153,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9409893263,tariq.joshi66@jit.edu,Mr. Omkar Joshi,9839462365,BIO0153,Right Little,FP-UGF23AI153-F04,37,Mantra MFS100,2024-06-01,Active,Left Thumb
Tejas Nair,Tejas,,Nair,Male,2003-10-02,UGF23AI154,A19,EN2423AI154,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9127772220,tejas.nair21@jit.edu,Mrs. Tushar Nair,9997603725,BIO0154,Right Little,FP-UGF23AI154-F04,54,Mantra MFS100,2024-06-13,Active,Right Thumb
Tushar Chand Dange,Tushar,Chand,Dange,Female,2003-01-25,UGF23AI155,B19,EN2423AI155,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9799552991,tushar.dange66@jit.edu,Dr. Om Dange,9728492896,BIO0155,Right Ring,FP-UGF23AI155-F03,45,ZKTeco SF100,2024-06-02,Active,Left Ring
Pallavi Rao Dalvi,Pallavi,Rao,Dalvi,Male,2003-06-11,UGF23AI156,C19,EN2423AI156,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9542000551,pallavi.dalvi98@jit.edu,Prof. Soham Dalvi,9811443654,BIO0156,Right Index,FP-UGF23AI156-F01,43,ZKTeco K40,2024-06-05,Active,Left Little
Harsha Ram Reddy,Harsha,Ram,Reddy,Male,2003-06-04,UGF23AI157,A20,EN2423AI157,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9806157458,harsha.reddy79@jit.edu,Prof. Hina Reddy,9158201193,BIO0157,Right Little,FP-UGF23AI157-F04,30,Startek FM220U,2024-06-02,Active,Left Ring
Jagdish Raj Jain,Jagdish,Raj,Jain,Male,2003-05-18,UGF23AI158,B20,EN2423AI158,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9230380269,jagdish.jain13@jit.edu,Mrs. Chandra Jain,9270057261,BIO0158,Right Ring,FP-UGF23AI158-F03,37,Mantra MFS100,2024-06-22,Active,Left Little
Ravi Prasad Lokhande,Ravi,Prasad,Lokhande,Female,2003-02-21,UGF23AI159,C20,EN2423AI159,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9857429971,ravi.lokhande44@jit.edu,Prof. Uma Lokhande,9618079974,BIO0159,Right Middle,FP-UGF23AI159-F02,48,Startek FM220U,2024-06-22,Active,Left Little
Pankaj Salve,Pankaj,,Salve,Male,2003-12-05,UGF23AI160,A21,EN2423AI160,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9945805127,pankaj.salve74@jit.edu,Dr. Tariq Salve,9102754426,BIO0160,Right Ring,FP-UGF23AI160-F03,36,Mantra MFS100,2024-06-24,Active,Left Ring
Madhuri Narwade,Madhuri,,Narwade,Male,2003-06-11,UGF23AI161,B21,EN2423AI161,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9445505799,madhuri.narwade34@jit.edu,Mrs. Faisal Narwade,9511211819,BIO0161,Right Ring,FP-UGF23AI161-F03,32,Secugen Hamster Pro,2024-06-09,Active,Left Middle
Hemant Naik,Hemant,,Naik,Male,2003-07-22,UGF23AI162,C21,EN2423AI162,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9235555899,hemant.naik74@jit.edu,Dr. Dayanand Naik,9207765664,BIO0162,Right Ring,FP-UGF23AI162-F03,72,ZKTeco SF100,2024-06-01,Active,Left Little
Aditi Lal Dalvi,Aditi,Lal,Dalvi,Male,2003-11-05,UGF23AI163,A22,EN2423AI163,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9769219685,aditi.dalvi98@jit.edu,Prof. Priti Dalvi,9186237917,BIO0163,Right Middle,FP-UGF23AI163-F02,72,Startek FM220U,2024-06-24,Active,Left Little
Vanshika Waghmare,Vanshika,,Waghmare,Female,2003-01-20,UGF23AI164,B22,EN2423AI164,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9901834280,vanshika.waghmare21@jit.edu,Prof. Ishaan Waghmare,9916440738,BIO0164,Right Middle,FP-UGF23AI164-F02,58,ZKTeco SF100,2024-06-24,Active,Right Index
Abhishek Bala Patel,Abhishek,Bala,Patel,Male,2003-01-11,UGF23AI165,C22,EN2423AI165,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9502482554,abhishek.patel65@jit.edu,Mrs. Sakshi Patel,9670335494,BIO0165,Right Middle,FP-UGF23AI165-F02,44,ZKTeco K40,2024-06-01,Active,Right Ring
Gaurav Naik,Gaurav,,Naik,Female,2003-10-22,UGF23AI166,A23,EN2423AI166,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9349310440,gaurav.naik69@jit.edu,Dr. Navin Naik,9374154962,BIO0166,Right Little,FP-UGF23AI166-F04,60,Startek FM220U,2024-06-19,Active,Left Ring
Tushar Agarwal,Tushar,,Agarwal,Male,2003-02-15,UGF23AI167,B23,EN2423AI167,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9841218491,tushar.agarwal42@jit.edu,Prof. Yamini Agarwal,9424400672,BIO0167,Right Middle,FP-UGF23AI167-F02,30,Secugen Hamster Pro,2024-06-15,Inactive,Left Ring
Dhruv Kadam,Dhruv,,Kadam,Male,2003-10-10,UGF23AI168,C23,EN2423AI168,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9394721069,dhruv.kadam11@jit.edu,Mr. Jyoti Kadam,9751124015,BIO0168,Right Thumb,FP-UGF23AI168-F00,65,Mantra MFS100,2024-06-04,Active,Left Thumb
Ritika Kadam,Ritika,,Kadam,Female,2003-04-21,UGF23AI169,A24,EN2423AI169,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9774576271,ritika.kadam22@jit.edu,Mr. Uday Kadam,9946764061,BIO0169,Right Middle,FP-UGF23AI169-F02,46,Secugen Hamster Pro,2024-06-20,Active,Left Index
Harsha Bala Das,Harsha,Bala,Das,Female,2003-12-14,UGF23AI170,B24,EN2423AI170,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9492836532,harsha.das77@jit.edu,Dr. Uma Das,9276678230,BIO0170,Right Index,FP-UGF23AI170-F01,34,ZKTeco SF100,2024-06-21,Active,Left Ring
Suresh Ram Mehta,Suresh,Ram,Mehta,Female,2003-08-03,UGF23AI171,C24,EN2423AI171,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9492747974,suresh.mehta21@jit.edu,Prof. Aditi Mehta,9383960237,BIO0171,Right Ring,FP-UGF23AI171-F03,52,ZKTeco SF100,2024-06-22,Active,Left Index
Tushar Chand Gite,Tushar,Chand,Gite,Female,2003-07-27,UGF23AI172,A25,EN2423AI172,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9606244434,tushar.gite13@jit.edu,Dr. Kedar Gite,9755070775,BIO0172,Right Thumb,FP-UGF23AI172-F00,32,Mantra MFS100,2024-06-06,Active,Left Ring
Tanvi Sai Mehta,Tanvi,Sai,Mehta,Male,2003-03-02,UGF23AI173,B25,EN2423AI173,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9204359116,tanvi.mehta40@jit.edu,Mrs. Eshaan Mehta,9587096273,BIO0173,Right Ring,FP-UGF23AI173-F03,41,Mantra MFS100,2024-06-25,Active,Left Little
Hemant Lal Fulzele,Hemant,Lal,Fulzele,Male,2003-11-04,UGF23AI174,C25,EN2423AI174,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9135128844,hemant.fulzele98@jit.edu,Dr. Rahul Fulzele,9576078963,BIO0174,Right Ring,FP-UGF23AI174-F03,46,Secugen Hamster Pro,2024-06-11,Active,Left Index
