template_id,biometric_id,student_id,full_name,finger_name,hand,minutiae_count,template_size_bytes,image_quality_score,enrollment_device,enrollment_date,template_format,status
FP-UGF23AI130-F00,BIO0130,UGF23AI130,Lalit Shankar Salve,Right Thumb,Right,42,472,90,ZKTeco SF100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI130-F05,BIO0130,UGF23AI130,Lalit Shankar Salve,Left Thumb,Left,67,431,81,ZKTeco SF100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI131-F00,BIO0131,UGF23AI131,Pooja Lal Patel,Right Thumb,Right,67,458,89,Secugen Hamster Pro,2024-06-11,ISO 19794-2,Active
FP-UGF23AI131-F04,BIO0131,UGF23AI131,Pooja Lal Patel,Right Little,Right,55,510,61,Secugen Hamster Pro,2024-06-11,ISO 19794-2,Active
FP-UGF23AI132-F03,BIO0132,UGF23AI132,Abhishek Kumar Shah,Right Ring,Right,48,414,76,Secugen Hamster Pro,2024-06-21,ISO 19794-2,Active
FP-UGF23AI132-F09,BIO0132,UGF23AI132,Abhishek Kumar Shah,Left Little,Left,22,448,74,Secugen Hamster Pro,2024-06-21,ISO 19794-2,Active
FP-UGF23AI133-F03,BIO0133,UGF23AI133,Indira Ram Ingole,Right Ring,Right,61,489,74,Secugen Hamster Pro,2024-06-03,ISO 19794-2,Active
FP-UGF23AI133-F05,BIO0133,UGF23AI133,Indira Ram Ingole,Left Thumb,Left,69,440,86,Secugen Hamster Pro,2024-06-03,ISO 19794-2,Active
FP-UGF23AI134-F01,BIO0134,UGF23AI134,Wasim Nambiar,Right Index,Right,40,466,94,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI134-F03,BIO0134,UGF23AI134,Wasim Nambiar,Right Ring,Right,18,489,76,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI135-F00,BIO0135,UGF23AI135,Dev Sai Dalvi,Right Thumb,Right,33,436,65,Startek FM220U,2024-06-12,ISO 19794-2,Active
FP-UGF23AI135-F01,BIO0135,UGF23AI135,Dev Sai Dalvi,Right Index,Right,43,486,81,Startek FM220U,2024-06-12,ISO 19794-2,Active
FP-UGF23AI136-F03,BIO0136,UGF23AI136,Jagdish Naik,Right Ring,Right,22,470,71,Mantra MFS100,2024-06-15,ISO 19794-2,Active
FP-UGF23AI136-F00,BIO0136,UGF23AI136,Jagdish Naik,Right Thumb,Right,48,440,82,Mantra MFS100,2024-06-15,ISO 19794-2,Active
FP-UGF23AI137-F00,BIO0137,UGF23AI137,Sarita Prakash Bhatia,Right Thumb,Right,31,473,77,Secugen Hamster Pro,2024-06-07,ISO 19794-2,Active
FP-UGF23AI137-F08,BIO0137,UGF23AI137,Sarita Prakash Bhatia,Left Ring,Left,29,495,72,Secugen Hamster Pro,2024-06-07,ISO 19794-2,Active
FP-UGF23AI138-F03,BIO0138,UGF23AI138,Shruti Prakash Das,Right Ring,Right,49,494,72,Mantra MFS100,2024-06-16,ISO 19794-2,Active
FP-UGF23AI138-F09,BIO0138,UGF23AI138,Shruti Prakash Das,Left Little,Left,33,494,75,Mantra MFS100,2024-06-16,ISO 19794-2,Active
FP-UGF23AI139-F01,BIO0139,UGF23AI139,Zara Das Rao,Right Index,Right,34,426,74,ZKTeco K40,2024-06-02,ISO 19794-2,Active
FP-UGF23AI139-F04,BIO0139,UGF23AI139,Zara Das Rao,Right Little,Right,30,506,75,ZKTeco K40,2024-06-02,ISO 19794-2,Active
FP-UGF23AI140-F01,BIO0140,UGF23AI140,Sandeep Rao Bhatia,Right Index,Right,71,479,82,ZKTeco K40,2024-06-03,ISO 19794-2,Active
FP-UGF23AI140-F07,BIO0140,UGF23AI140,Sandeep Rao Bhatia,Left Middle,Left,27,499,66,ZKTeco K40,2024-06-03,ISO 19794-2,Active
FP-UGF23AI141-F00,BIO0141,UGF23AI141,Devika Shankar Joshi,Right Thumb,Right,25,410,91,ZKTeco SF100,2024-06-06,ISO 19794-2,Active
FP-UGF23AI141-F09,BIO0141,UGF23AI141,Devika Shankar Joshi,Left Little,Left,57,400,94,ZKTeco SF100,2024-06-06,ISO 19794-2,Active
FP-UGF23AI142-F03,BIO0142,UGF23AI142,Chetan Devi Raut,Right Ring,Right,20,508,90,Startek FM220U,2024-06-26,ISO 19794-2,Active
FP-UGF23AI142-F09,BIO0142,UGF23AI142,Chetan Devi Raut,Left Little,Left,41,479,80,Startek FM220U,2024-06-26,ISO 19794-2,Active
FP-UGF23AI143-F02,BIO0143,UGF23AI143,Siddharth Vaghmare,Right Middle,Right,49,512,96,Secugen Hamster Pro,2024-06-13,ISO 19794-2,Active
FP-UGF23AI143-F07,BIO0143,UGF23AI143,Siddharth Vaghmare,Left Middle,Left,35,462,71,Secugen Hamster Pro,2024-06-13,ISO 19794-2,Active
FP-UGF23AI144-F02,BIO0144,UGF23AI144,Tejas Ram Deshpande,Right Middle,Right,66,465,77,Mantra MFS100,2024-06-15,ISO 19794-2,Active
FP-UGF23AI144-F01,BIO0144,UGF23AI144,Tejas Ram Deshpande,Right Index,Right,43,428,96,Mantra MFS100,2024-06-15,ISO 19794-2,Active
FP-UGF23AI145-F03,BIO0145,UGF23AI145,Hina Ambhore,Right Ring,Right,26,406,93,Startek FM220U,2024-06-11,ISO 19794-2,Active
FP-UGF23AI145-F06,BIO0145,UGF23AI145,Hina Ambhore,Left Index,Left,69,454,90,Startek FM220U,2024-06-11,ISO 19794-2,Active
FP-UGF23AI146-F03,BIO0146,UGF23AI146,Yogesh Rao Gangurde,Right Ring,Right,52,404,92,Mantra MFS100,2024-06-16,ISO 19794-2,Active
FP-UGF23AI146-F09,BIO0146,UGF23AI146,Yogesh Rao Gangurde,Left Little,Left,40,450,71,Mantra MFS100,2024-06-16,ISO 19794-2,Active
FP-UGF23AI147-F04,BIO0147,UGF23AI147,Abhishek Nath Ghosh,Right Little,Right,47,415,93,Mantra MFS100,2024-06-11,ISO 19794-2,Active
FP-UGF23AI147-F02,BIO0147,UGF23AI147,Abhishek Nath Ghosh,Right Middle,Right,47,440,60,Mantra MFS100,2024-06-11,ISO 19794-2,Active
FP-UGF23AI148-F02,BIO0148,UGF23AI148,Chandra Kulkarni,Right Middle,Right,18,486,73,Secugen Hamster Pro,2024-06-25,ISO 19794-2,Active
FP-UGF23AI148-F08,BIO0148,UGF23AI148,Chandra Kulkarni,Left Ring,Left,42,474,66,Secugen Hamster Pro,2024-06-25,ISO 19794-2,Active
FP-UGF23AI149-F03,BIO0149,UGF23AI149,Om Raj Reddy,Right Ring,Right,38,446,99,Startek FM220U,2024-06-24,ISO 19794-2,Active
FP-UGF23AI149-F05,BIO0149,UGF23AI149,Om Raj Reddy,Left Thumb,Left,34,423,95,Startek FM220U,2024-06-24,ISO 19794-2,Active
FP-UGF23AI150-F01,BIO0150,UGF23AI150,Sakshi Prasad Ambhore,Right Index,Right,34,430,77,Secugen Hamster Pro,2024-06-07,ISO 19794-2,Active
FP-UGF23AI150-F00,BIO0150,UGF23AI150,Sakshi Prasad Ambhore,Right Thumb,Right,48,478,81,Secugen Hamster Pro,2024-06-07,ISO 19794-2,Active
FP-UGF23AI151-F01,BIO0151,UGF23AI151,Gajanan Prasad Jain,Right Index,Right,41,423,91,ZKTeco K40,2024-06-18,ISO 19794-2,Active
FP-UGF23AI151-F08,BIO0151,UGF23AI151,Gajanan Prasad Jain,Left Ring,Left,45,426,86,ZKTeco K40,2024-06-18,ISO 19794-2,Active
FP-UGF23AI152-F01,BIO0152,UGF23AI152,Ritika Bala Vaidya,Right Index,Right,62,496,83,ZKTeco K40,2024-06-12,ISO 19794-2,Active
FP-UGF23AI152-F03,BIO0152,UGF23AI152,Ritika Bala Vaidya,Right Ring,Right,41,509,85,ZKTeco K40,2024-06-12,ISO 19794-2,Active
FP-UGF23AI153-F04,BIO0153,UGF23AI153,Tariq Lal Joshi,Right Little,Right,35,457,71,Mantra MFS100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI153-F05,BIO0153,UGF23AI153,Tariq Lal Joshi,Left Thumb,Left,54,416,96,Mantra MFS100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI154-F04,BIO0154,UGF23AI154,Tejas Nair,Right Little,Right,61,429,66,Mantra MFS100,2024-06-13,ISO 19794-2,Active
FP-UGF23AI154-F00,BIO0154,UGF23AI154,Tejas Nair,Right Thumb,Right,64,434,75,Mantra MFS100,2024-06-13,ISO 19794-2,Active
FP-UGF23AI155-F03,BIO0155,UGF23AI155,Tushar Chand Dange,Right Ring,Right,53,455,84,ZKTeco SF100,2024-06-02,ISO 19794-2,Active
FP-UGF23AI155-F08,BIO0155,UGF23AI155,Tushar Chand Dange,Left Ring,Left,30,418,69,ZKTeco SF100,2024-06-02,ISO 19794-2,Active
FP-UGF23AI156-F01,BIO0156,UGF23AI156,Pallavi Rao Dalvi,Right Index,Right,48,503,60,ZKTeco K40,2024-06-05,ISO 19794-2,Active
FP-UGF23AI156-F09,BIO0156,UGF23AI156,Pallavi Rao Dalvi,Left Little,Left,29,453,91,ZKTeco K40,2024-06-05,ISO 19794-2,Active
FP-UGF23AI157-F04,BIO0157,UGF23AI157,Harsha Ram Reddy,Right Little,Right,26,508,93,Startek FM220U,2024-06-02,ISO 19794-2,Active
FP-UGF23AI157-F08,BIO0157,UGF23AI157,Harsha Ram Reddy,Left Ring,Left,52,492,80,Startek FM220U,2024-06-02,ISO 19794-2,Active
FP-UGF23AI158-F03,BIO0158,UGF23AI158,Jagdish Raj Jain,Right Ring,Right,68,462,79,Mantra MFS100,2024-06-22,ISO 19794-2,Active
FP-UGF23AI158-F09,BIO0158,UGF23AI158,Jagdish Raj Jain,Left Little,Left,34,471,96,Mantra MFS100,2024-06-22,ISO 19794-2,Active
FP-UGF23AI159-F02,BIO0159,UGF23AI159,Ravi Prasad Lokhande,Right Middle,Right,21,450,66,Startek FM220U,2024-06-22,ISO 19794-2,Active
FP-UGF23AI159-F09,BIO0159,UGF23AI159,Ravi Prasad Lokhande,Left Little,Left,62,420,63,Startek FM220U,2024-06-22,ISO 19794-2,Active
FP-UGF23AI160-F03,BIO0160,UGF23AI160,Pankaj Salve,Right Ring,Right,31,504,76,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI160-F08,BIO0160,UGF23AI160,Pankaj Salve,Left Ring,Left,48,507,66,Mantra MFS100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI161-F03,BIO0161,UGF23AI161,Madhuri Narwade,Right Ring,Right,46,495,81,Secugen Hamster Pro,2024-06-09,ISO 19794-2,Active
FP-UGF23AI161-F07,BIO0161,UGF23AI161,Madhuri Narwade,Left Middle,Left,34,446,83,Secugen Hamster Pro,2024-06-09,ISO 19794-2,Active
FP-UGF23AI162-F03,BIO0162,UGF23AI162,Hemant Naik,Right Ring,Right,53,471,76,ZKTeco SF100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI162-F09,BIO0162,UGF23AI162,Hemant Naik,Left Little,Left,40,402,86,ZKTeco SF100,2024-06-01,ISO 19794-2,Active
FP-UGF23AI163-F02,BIO0163,UGF23AI163,Aditi Lal Dalvi,Right Middle,Right,25,444,98,Startek FM220U,2024-06-24,ISO 19794-2,Active
FP-UGF23AI163-F09,BIO0163,UGF23AI163,Aditi Lal Dalvi,Left Little,Left,30,473,96,Startek FM220U,2024-06-24,ISO 19794-2,Active
FP-UGF23AI164-F02,BIO0164,UGF23AI164,Vanshika Waghmare,Right Middle,Right,59,483,94,ZKTeco SF100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI164-F01,BIO0164,UGF23AI164,Vanshika Waghmare,Right Index,Right,29,499,78,ZKTeco SF100,2024-06-24,ISO 19794-2,Active
FP-UGF23AI165-F02,BIO0165,UGF23AI165,Abhishek Bala Patel,Right Middle,Right,40,441,92,ZKTeco K40,2024-06-01,ISO 19794-2,Active
FP-UGF23AI165-F03,BIO0165,UGF23AI165,Abhishek Bala Patel,Right Ring,Right,49,499,88,ZKTeco K40,2024-06-01,ISO 19794-2,Active
FP-UGF23AI166-F04,BIO0166,UGF23AI166,Gaurav Naik,Right Little,Right,23,448,99,Startek FM220U,2024-06-19,ISO 19794-2,Active
FP-UGF23AI166-F08,BIO0166,UGF23AI166,Gaurav Naik,Left Ring,Left,36,459,69,Startek FM220U,2024-06-19,ISO 19794-2,Active
FP-UGF23AI167-F02,BIO0167,UGF23AI167,Tushar Agarwal,Right Middle,Right,28,481,81,Secugen Hamster Pro,2024-06-15,ISO 19794-2,Inactive
FP-UGF23AI167-F08,BIO0167,UGF23AI167,Tushar Agarwal,Left Ring,Left,44,480,99,Secugen Hamster Pro,2024-06-15,ISO 19794-2,Inactive
FP-UGF23AI168-F00,BIO0168,UGF23AI168,Dhruv Kadam,Right Thumb,Right,54,451,64,Mantra MFS100,2024-06-04,ISO 19794-2,Active
FP-UGF23AI168-F05,BIO0168,UGF23AI168,Dhruv Kadam,Left Thumb,Left,23,420,81,Mantra MFS100,2024-06-04,ISO 19794-2,Active
FP-UGF23AI169-F02,BIO0169,UGF23AI169,Ritika Kadam,Right Middle,Right,32,440,80,Secugen Hamster Pro,2024-06-20,ISO 19794-2,Active
FP-UGF23AI169-F06,BIO0169,UGF23AI169,Ritika Kadam,Left Index,Left,59,437,77,Secugen Hamster Pro,2024-06-20,ISO 19794-2,Active
FP-UGF23AI170-F01,BIO0170,UGF23AI170,Harsha Bala Das,Right Index,Right,56,482,85,ZKTeco SF100,2024-06-21,ISO 19794-2,Active
FP-UGF23AI170-F08,BIO0170,UGF23AI170,Harsha Bala Das,Left Ring,Left,35,456,83,ZKTeco SF100,2024-06-21,ISO 19794-2,Active
FP-UGF23AI171-F03,BIO0171,UGF23AI171,Suresh Ram Mehta,Right Ring,Right,65,475,93,ZKTeco SF100,2024-06-22,ISO 19794-2,Active
FP-UGF23AI171-F06,BIO0171,UGF23AI171,Suresh Ram Mehta,Left Index,Left,46,452,70,ZKTeco SF100,2024-06-22,ISO 19794-2,Active
FP-UGF23AI172-F00,BIO0172,UGF23AI172,Tushar Chand Gite,Right Thumb,Right,29,509,61,Mantra MFS100,2024-06-06,ISO 19794-2,Active
FP-UGF23AI172-F08,BIO0172,UGF23AI172,Tushar Chand Gite,Left Ring,Left,26,493,75,Mantra MFS100,2024-06-06,ISO 19794-2,Active
FP-UGF23AI173-F03,BIO0173,UGF23AI173,Tanvi Sai Mehta,Right Ring,Right,60,432,65,Mantra MFS100,2024-06-25,ISO 19794-2,Active
FP-UGF23AI173-F09,BIO0173,UGF23AI173,Tanvi Sai Mehta,Left Little,Left,31,421,85,Mantra MFS100,2024-06-25,ISO 19794-2,Active
FP-UGF23AI174-F03,BIO0174,UGF23AI174,Hemant Lal Fulzele,Right Ring,Right,24,412,64,Secugen Hamster Pro,2024-06-11,ISO 19794-2,Active
FP-UGF23AI174-F06,BIO0174,UGF23AI174,Hemant Lal Fulzele,Left Index,Left,48,470,63,Secugen Hamster Pro,2024-06-11,ISO 19794-2,Active
FP-UGF23AI175-F02,BIO0175,UGF23AI175,Vidya Rao Waghmare,Right Middle,Right,19,498,85,Startek FM220U,2024-06-25,ISO 19794-2,Active
FP-UGF23AI175-F00,BIO0175,UGF23AI175,Vidya Rao Waghmare,Right Thumb,Right,51,497,65,Startek FM220U,2024-06-25,ISO 19794-2,Active
FP-UGF23AI176-F01,BIO0176,UGF23AI176,Vishal Das Kulkarni,Right Index,Right,24,433,99,Secugen Hamster Pro,2024-06-24,ISO 19794-2,Active
FP-UGF23AI176-F00,BIO0176,UGF23AI176,Vishal Das Kulkarni,Right Thumb,Right,27,410,84,Secugen Hamster Pro,2024-06-24,ISO 19794-2,Active
FP-UGF23AI177-F00,BIO0177,UGF23AI177,Meera Lal Waghmare,Right Thumb,Right,37,429,75,ZKTeco K40,2024-06-21,ISO 19794-2,Active
FP-UGF23AI177-F01,BIO0177,UGF23AI177,Meera Lal Waghmare,Right Index,Right,65,436,88,ZKTeco K40,2024-06-21,ISO 19794-2,Active
FP-UGF23AI178-F02,BIO0178,UGF23AI178,Isha Mehta,Right Middle,Right,58,416,68,Startek FM220U,2024-06-11,ISO 19794-2,Active
FP-UGF23AI178-F09,BIO0178,UGF23AI178,Isha Mehta,Left Little,Left,51,507,70,Startek FM220U,2024-06-11,ISO 19794-2,Active
FP-UGF23AI179-F00,BIO0179,UGF23AI179,Onkar Kumar Mishra,Right Thumb,Right,19,404,82,Startek FM220U,2024-06-14,ISO 19794-2,Active
FP-UGF23AI179-F02,BIO0179,UGF23AI179,Onkar Kumar Mishra,Right Middle,Right,38,510,90,Startek FM220U,2024-06-14,ISO 19794-2,Active
FP-UGF23AI180-F04,BIO0180,UGF23AI180,Lalita Zende,Right Little,Right,47,511,94,Secugen Hamster Pro,2024-06-14,ISO 19794-2,Active
FP-UGF23AI180-F09,BIO0180,UGF23AI180,Lalita Zende,Left Little,Left,35,470,88,Secugen Hamster Pro,2024-06-14,ISO 19794-2,Active
FP-UGF23AI181-F03,BIO0181,UGF23AI181,Rahul Sai Jadhav,Right Ring,Right,26,489,94,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI181-F02,BIO0181,UGF23AI181,Rahul Sai Jadhav,Right Middle,Right,29,475,98,Startek FM220U,2024-06-16,ISO 19794-2,Active
FP-UGF23AI182-F02,BIO0182,UGF23AI182,Pallavi Devi Pillai,Right Middle,Right,47,480,96,ZKTeco K40,2024-06-13,ISO 19794-2,Active
FP-UGF23AI182-F07,BIO0182,UGF23AI182,Pallavi Devi Pillai,Left Middle,Left,45,467,94,ZKTeco K40,2024-06-13,ISO 19794-2,Active
FP-UGF23AI183-F04,BIO0183,UGF23AI183,Ekta Raj Vaidya,Right Little,Right,37,444,90,ZKTeco K40,2024-06-15,ISO 19794-2,Active
